id_tarifario;id_tipo_metodologia;nom_tipo_metodologia;id_metodologia;nom_metodologia;id_duracion;duracion;id_nivel_aceptacion;des_nivel_aceptacion;id_origen_db;origen_db;id_muestra;muestra;operador_muestra;valor_muestra;id_cobertura;nom_cobertura;precio;id_pob_objetivo;des_pob_objetivo
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Ciudades Principales;49000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Ciudades Intermedias;60000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Municipios;77000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Ciudades Principales;36000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Ciudades Intermedias;49000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Municipios;61000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Más de 600;;;;Ciudades Principales;35000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Más de 600;;;;Ciudades Intermedias;44000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Dificil (3 o menos encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Más de 600;;;;Municipios;59000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Ciudades Principales;46000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Ciudades Intermedias;51000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Municipios;67000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Ciudades Principales;34000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Ciudades Intermedias;41000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Municipios;51000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Más de 600;;;;Ciudades Principales;33000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Más de 600;;;;Ciudades Intermedias;36000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Media (De 3 a 6 encuestas efectivas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Más de 600;;;;Municipios;46000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Facíl (Mas de 6 encuestas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Ciudades Principales;42000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Facíl (Mas de 6 encuestas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Ciudades Intermedias;47000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Facíl (Mas de 6 encuestas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Menos de 300;;;;Municipios;61000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Facíl (Mas de 6 encuestas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Ciudades Principales;31000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Facíl (Mas de 6 encuestas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Ciudades Intermedias;37000;;Entrevistas Cara A Cara
;;Cuantitativos;;Entrevistas presenciales en hogares;;< 15 minutos;;Facíl (Mas de 6 encuestas de cada 10 contactos);;BDD del CNC Confecamaras y/o Directorio Telefonico;;Entre 301 y 600;;;;Municipios;52000;;Entrevistas Cara A Cara
