id_tarifario;id_tipo_metodologia;nom_tipo_metodologia;id_metodologia;nom_metodologia;id_duracion;duracion;id_nivel_aceptacion;des_nivel_aceptacion;id_origen_db;origen_db;id_muestra;muestra;operador_muestra;valor_muestra;id_cobertura;nom_cobertura;precio;id_pob_objetivo;des_pob_objetivo
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Hasta 6 sesiones;;;;Ciudades Principales;9000000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Hasta 6 sesiones;;;;Ciudades Intermedias;10125000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;Base de datos entregada por el cliente;;Hasta 6 sesiones;;;;Ciudades Principales;8600000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;Base de datos entregada por el cliente;;Hasta 6 sesiones;;;;Ciudades Intermedias;9225000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Media (De 3 a 6 aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Hasta 6 sesiones;;;;Ciudades Principales;8000000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Media (De 3 a 6 aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Hasta 6 sesiones;;;;Ciudades Intermedias;9000000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Media (De 3 a 6 aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Más de 6 sesiones;;;;Ciudades Principales;7600000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Media (De 3 a 6 aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Más de 6 sesiones;;;;Ciudades Intermedias;8550000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;Base de datos entregada por el cliente;;Más de 6 sesiones;;;;Ciudades Principales;7600000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;Base de datos entregada por el cliente;;Más de 6 sesiones;;;;Ciudades Intermedias;8550000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Media (De 3 a 6 aceptación de cada 10 contactos);;Base de datos entregada por el cliente;;Más de 6 sesiones;;;;Ciudades Principales;7200000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Media (De 3 a 6 aceptación de cada 10 contactos);;Base de datos entregada por el cliente;;Más de 6 sesiones;;;;Ciudades Intermedias;8100000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Más de 6 sesiones;;;;Ciudades Principales;7400000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Dificil (3 o menos aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Más de 6 sesiones;;;;Ciudades Intermedias;8325000;;Grupo(10 a 28 personas)
;;Cualitativos;;Grupo focal;;Máximo 3 horas;;Facíl (Mas de 6 aceptación de cada 10 contactos);;BDD del CNC, Confecamaras, Directorio Telefonico, etc.;;Más de 6 sesiones;;;;Ciudades Principales;7000000;;Grupo(10 a 28 personas)
